unsat-epsilon,sat-epsilon,original-prediction,sat-prediction
35.90087890625,35.906982421875,5,8
33.416748046875,33.4228515625,5,2
25.69580078125,25.701904296875,9,6
24.932861328125,24.93896484375,6,9
27.972412109375,27.978515625,1,4
25.762939453125,25.76904296875,6,0
28.6865234375,28.692626953125,2,0
30.6396484375,30.645751953125,0,3
23.809814453125,23.81591796875,9,3
28.6376953125,28.643798828125,3,4
30.26123046875,30.267333984375,1,4
31.317138671875,31.3232421875,1,9
26.86767578125,26.873779296875,9,3
31.939697265625,31.94580078125,5,9
21.551513671875,21.5576171875,8,3
25.982666015625,25.98876953125,6,9
25.81787109375,25.823974609375,9,3
33.856201171875,33.8623046875,5,2
29.656982421875,29.6630859375,2,3
34.2529296875,34.259033203125,5,9
