unsat-epsilon,sat-epsilon,original-prediction,sat-prediction
31.09130859375,31.097412109375,7,9
25.482177734375,25.48828125,3,0
25.042724609375,25.048828125,9,2
27.45361328125,27.459716796875,4,5
29.8095703125,29.815673828125,0,4
30.0537109375,30.059814453125,2,9
29.2236328125,29.229736328125,5,9
29.437255859375,29.443359375,2,9
30.401611328125,30.40771484375,7,2
28.082275390625,28.08837890625,3,2
23.93798828125,23.944091796875,9,2
28.35693359375,28.363037109375,7,2
24.822998046875,24.8291015625,9,2
25.189208984375,25.1953125,8,3
27.117919921875,27.1240234375,2,3
23.2177734375,23.223876953125,8,5
30.06591796875,30.072021484375,9,2
28.436279296875,28.4423828125,2,9
30.291748046875,30.2978515625,3,2
32.77587890625,32.781982421875,5,9
