unsat-epsilon,sat-epsilon,original-prediction,sat-prediction
26.59912109375,26.605224609375,7,6
24.090576171875,24.0966796875,9,3
33.1787109375,33.184814453125,5,9
22.64404296875,22.650146484375,8,3
29.5166015625,29.522705078125,3,0
29.791259765625,29.79736328125,0,2
29.229736328125,29.23583984375,2,5
23.91357421875,23.919677734375,8,3
30.169677734375,30.17578125,3,2
22.5830078125,22.589111328125,8,3
25.57373046875,25.579833984375,4,8
29.30908203125,29.315185546875,1,4
27.130126953125,27.13623046875,3,0
34.881591796875,34.8876953125,1,3
29.91943359375,29.925537109375,3,9
30.01708984375,30.023193359375,3,9
25.74462890625,25.750732421875,3,9
30.938720703125,30.94482421875,3,9
29.2724609375,29.278564453125,7,2
23.321533203125,23.32763671875,8,3
