unsat-epsilon,sat-epsilon,original-prediction,sat-prediction
23.47412109375,23.480224609375,8,3
27.3193359375,27.325439453125,9,5
30.194091796875,30.2001953125,0,3
23.84033203125,23.846435546875,9,2
27.55126953125,27.557373046875,7,3
26.62353515625,26.629638671875,4,3
26.129150390625,26.13525390625,9,3
28.173828125,28.179931640625,4,8
31.182861328125,31.18896484375,2,5
27.191162109375,27.197265625,3,9
23.57177734375,23.577880859375,8,3
29.998779296875,30.0048828125,1,3
27.0751953125,27.081298828125,3,0
24.86572265625,24.871826171875,6,3
26.11083984375,26.116943359375,4,3
29.1259765625,29.132080078125,1,4
30.810546875,30.816650390625,0,5
27.9541015625,27.960205078125,0,2
28.900146484375,28.90625,0,9
31.6162109375,31.622314453125,2,7
