unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
131.4605712890625,131.4697265625,"[5 3 8 0]","[9 0 3 2]"
83.9447021484375,83.953857421875,"[1 5 8 3]","[3 9 3 9]"
63.0523681640625,63.0615234375,"[7 7 5 2]","[6 3 9 9]"
88.751220703125,88.7603759765625,"[8 5 3 1]","[3 2 2 4]"
80.2459716796875,80.255126953125,"[0 6 4 6]","[9 9 8 0]"
119.0277099609375,119.036865234375,"[9 7 3 5]","[3 2 4 8]"
63.226318359375,63.2354736328125,"[9 5 9 9]","[3 8 2 5]"
81.2164306640625,81.2255859375,"[9 4 2 3]","[3 3 3 0]"
55.95703125,55.9661865234375,"[0 6 6 3]","[9 9 9 2]"
82.72705078125,82.7362060546875,"[7 9 4 4]","[2 6 3 8]"
