unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
26.11083984375,26.116943359375,"[4 4]","[3 3]"
52.349853515625,52.35595703125,"[2 8]","[9 3]"
48.2666015625,48.272705078125,"[9 8]","[2 5]"
53.045654296875,53.0517578125,"[2 9]","[5 3]"
34.2529296875,34.259033203125,"[5 7]","[9 9]"
52.899169921875,52.9052734375,"[9 4]","[5 8]"
52.79541015625,52.801513671875,"[8 5]","[3 9]"
55.2978515625,55.303955078125,"[2 4]","[3 8]"
65.692138671875,65.6982421875,"[0 5]","[2 8]"
51.055908203125,51.06201171875,"[9 2]","[2 3]"
