unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
60.406494140625,60.4156494140625,"[8 7 1]","[4 9 4]"
57.989501953125,57.9986572265625,"[3 3 6]","[2 9 1]"
88.824462890625,88.8336181640625,"[6 5 3]","[9 8 2]"
104.5074462890625,104.5166015625,"[3 9 2]","[9 2 5]"
56.1309814453125,56.14013671875,"[0 4 2]","[3 3 0]"
86.5814208984375,86.590576171875,"[8 3 5]","[3 9 2]"
55.55419921875,55.5633544921875,"[3 8 0]","[9 4 9]"
55.9844970703125,55.99365234375,"[9 3 9]","[2 9 2]"
35.48583984375,35.4949951171875,"[3 3 5]","[9 9 9]"
151.336669921875,151.3458251953125,"[3 8 0]","[0 3 3]"
