unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
50.7659912109375,50.775146484375,"[4 8 4 8]","[3 3 8 3]"
76.9500732421875,76.959228515625,"[7 9 6 5]","[2 2 9 9]"
75.457763671875,75.4669189453125,"[3 8 2 8]","[0 3 3 3]"
85.4736328125,85.4827880859375,"[7 8 2 4]","[2 3 3 5]"
143.316650390625,143.3258056640625,"[0 6 9 5]","[5 0 3 9]"
88.4674072265625,88.4765625,"[7 1 7 3]","[2 3 3 4]"
82.4066162109375,82.415771484375,"[2 9 9 4]","[0 3 5 3]"
156.8572998046875,156.866455078125,"[9 3 2 8]","[3 9 5 3]"
87.7899169921875,87.799072265625,"[3 3 2 4]","[2 4 9 8]"
68.29833984375,68.3074951171875,"[3 1 5 1]","[2 4 2 3]"
