unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
29.827880859375,29.8370361328125,"[8 7 2]","[3 3 3]"
54.89501953125,54.9041748046875,"[9 3 3]","[6 4 9]"
82.159423828125,82.1685791015625,"[3 0 8]","[4 5 3]"
96.5972900390625,96.6064453125,"[3 8 4]","[9 3 8]"
84.9517822265625,84.9609375,"[9 4 5]","[2 3 9]"
82.6171875,82.6263427734375,"[7 0 2]","[6 9 3]"
52.6519775390625,52.6611328125,"[2 8 8]","[9 3 5]"
53.4027099609375,53.411865234375,"[8 9 1]","[3 3 4]"
56.707763671875,56.7169189453125,"[3 6 7]","[2 9 2]"
65.4876708984375,65.496826171875,"[1 5 8]","[3 9 3]"
