unsat-epsilon,sat-epsilon,original-prediction,second-best-prediction
55.877685546875,55.8837890625,"[9 2]","[3 9]"
59.100341796875,59.1064453125,"[0 1]","[2 4]"
30.810546875,30.816650390625,"[0 8]","[5 5]"
30.194091796875,30.2001953125,"[0 9]","[3 3]"
55.584716796875,55.5908203125,"[4 7]","[3 2]"
49.700927734375,49.70703125,"[3 8]","[9 5]"
28.173828125,28.179931640625,"[4 4]","[8 8]"
58.416748046875,58.4228515625,"[5 8]","[9 4]"
48.699951171875,48.7060546875,"[8 3]","[5 0]"
27.117919921875,27.1240234375,"[2 8]","[3 3]"
